brand,model,primary_camera,secondary_camera,WLAN,bluetooth,sensors,colors,internal_memory,release_status,release_year,release_month/quarter,removable/non-removable,battery_type,battery_current,battery_unit,display_resolution,display_size,GPRS,EDGE,dimentions,SIM,CPU,Chipset,GPU,memory_card,RAM,GPS,OS
Bird,S890,1.3 MP,No,No,No,,,,Available,,,Li-Ion,2200,mAh,NaN,,128 x 160 pixels,Class 10,No,,Mini-SIM,,,,No,,No,
Bird,S798,,,No,No,,,,Available,,,Li-Ion,1800,mAh,NaN,,128 x 128 pixels,,No,83.5 x 45.5 x 21.5 mm ,Mini-SIM,,,,No,,No,
Bird,S698,,,No,No,,,,Available,,,Li-Ion,1800,mAh,NaN,,128 x 128 pixels,,No,104.3 x 15.7 x 44 mm ,Mini-SIM,,,,No,,No,
Bird,S198,,,No,No,,4 - Black,,Available,,,Li-Ion,1800,mAh,NaN,,112 x 64 pixels,,No,104.3 x 42.6 x 15 mm ,Mini-SIM,,,,No,,No,
Bird,S198,,,No,No,, White,,Available,,,Li-Ion,1800,mAh,NaN,,112 x 64 pixels,,No,104.3 x 42.6 x 15 mm ,Mini-SIM,,,,No,,No,
Bird,S198,,,No,No,, Green,,Available,,,Li-Ion,1800,mAh,NaN,,112 x 64 pixels,,No,104.3 x 42.6 x 15 mm ,Mini-SIM,,,,No,,No,
Bird,S198,,,No,No,, Red,,Available,,,Li-Ion,1800,mAh,NaN,,112 x 64 pixels,,No,104.3 x 42.6 x 15 mm ,Mini-SIM,,,,No,,No,
Bird,S299,,,No,No,,Black,,Available,,,Li-Ion,1000,mAh,NaN,,112 x 80 pixels,Yes,No,104 x 44 x 14 mm ,Mini-SIM,,,,No,,No,
Bird,M19,VGA,No,No,No,,Silver,32 MB,Available,,,Removable,Li-Ion,1000,mAh,,128 x 160 pixels,Class 10,No,106 x 44 x 15.2 mm ,Mini-SIM,,,,No,,No,
Bird,V109,1.3 MP,No,No,No,,,,Available,,,Removable,Li-Ion,1000,mAh,,128 x 160 pixels,Class 8,No,82.9 x 43 x 21.7 mm ,Mini-SIM,,,,No,,No,
Bird,S799,,,No,No,,Black,,Available,,,Removable,Li-Ion,1000,mAh,,120 x 128 pixels,,No,83.5 x 45.5 x 21.5 mm ,Mini-SIM,,,,No,,No,
Bird,S699,,,No,No,,Black,,Available,,,Li-Ion,1800,mAh,NaN,,120 x 128 pixels,,No,104.3 x 44 x 15.7 mm ,Mini-SIM,,,,No,,No,
Bird,V79,CIF,No,No,No,,Silver,,Available,,,Li-Ion,800,mAh,NaN,,128 x 160 pixels,Class 10,No,87 x 43 x 21 mm ,Mini-SIM,,,,No,,No,
Bird,S1186,,,No,No,,Silver,,Available,,,Li-Ion,800,mAh,NaN,,112 x 64 pixels,No,No,83 x 44 x 18.5 mm ,Mini-SIM,,,,No,,No,
Bird,S199,,,No,No,,Silver,,Available,,,Li-Ion,2100,mAh,NaN,,112 x 64 pixels,,No,104.3 x 42.6 x 15 mm ,Mini-SIM,,,,No,,No,
Bird,S199,,,No,No,, Black,,Available,,,Li-Ion,2100,mAh,NaN,,112 x 64 pixels,,No,104.3 x 42.6 x 15 mm ,Mini-SIM,,,,No,,No,
Bird,S789,VGA,No,No,No,,Silver,,Available,,,Li-Ion,2100,mAh,NaN,,128 x 160 pixels,Class 6,No,105 x 43 x 13 mm ,Mini-SIM,,,,No,,No,
Bird,V5510,,,No,No,,Silver-Blue,,Available,,,Removable,Li-Ion,1000,mAh,,128 x 128 pixels,,No,75 x 42 x 20 mm ,Mini-SIM,,,,No,,No,
Bird,DV10,VGA,No,No,No,,Blue,,Available,,,Removable,Li-Ion,1000,mAh,,128 x 160 pixels,Class 10,No,82.9 x 43 x 21.6 mm ,Mini-SIM,,,,No,,No,
Bird,S590,CIF,No,No,No,,Silver,,Available,,,Removable,Li-Ion,1420,mAh,,128 x 160 pixels,Class 10,No,107 x 44 x 20 mm ,Mini-SIM,,,,No,,No,
Bird,S580,CIF,No,No,No,,Orange,,Discontinued,,,Removable,Li-Ion,650,mAh,,128 x 160 pixels,Class 10,No,107 x 44 x 20 mm ,Mini-SIM,,,,No,,No,
Bird,S580,CIF,No,No,No,, Silver,,Discontinued,,,Removable,Li-Ion,650,mAh,,128 x 160 pixels,Class 10,No,107 x 44 x 20 mm ,Mini-SIM,,,,No,,No,
Bird,A150,VGA,No,No,No,,Silver,,Discontinued,,,Removable,Li-Ion,NaN,,,128 x 160 pixels,Class 4,No,83.5 x 42 x 19 mm ,Mini-SIM,,,,No,,No,
Bird,A130,VGA,No,No,No,,Silver,,Available.,2014,May,Removable,Li-Ion,1400,mAh,,128 x 160 pixels,Class 4,No,87 x 42 x 22 mm ,Mini-SIM,,,,No,,No,
Bird,A120,CIF,No,No,No,,Silver,,Available.,2013,June,Removable,Li-Ion,1500,mAh,,128 x 160 pixels,Class 4,No,87 x 43 x 21 mm ,Mini-SIM,,,,No,,No,
Bird,A120,CIF,No,No,No,, White,,Available.,2013,June,Removable,Li-Ion,1500,mAh,,128 x 160 pixels,Class 4,No,87 x 43 x 21 mm ,Mini-SIM,,,,No,,No,
Bird,V09,,,No,No,,Red,,Available.,2013,June,Removable,Li-Ion,1400,mAh,,128 x 160 pixels,,No,83 x 43 x 20 mm ,Mini-SIM,,,,No,,No,
Bird,V09,,,No,No,, Blue Grey,,Available.,2013,June,Removable,Li-Ion,1400,mAh,,128 x 160 pixels,,No,83 x 43 x 20 mm ,Mini-SIM,,,,No,,No,
Bird,S570,CIF,No,No,No,,Silver,,Available.,2013,July,Removable,Li-Ion,1400,mAh,,128 x 128 pixels,Class 10,No,103 x 43 x 18.5 mm ,Mini-SIM,,,,No,,No,
Bird,SC24,,,No,No,,Red,,Available.,2013,October,Removable,Li-Ion,2000,mAh,,128 x 160 pixels,Class 6,No,81 x 44 x 23 mm ,Mini-SIM,,,,No,,No,
Bird,G118,,,No,No,,Red,,Available,,,Removable,Li-Ion,650,mAh,,128 x 160 pixels,Class 4,No,82 x 43 x 22 mm ,Mini-SIM,,,,No,,No,
Bird,S1190,,,No,No,,Silver,,Available,,,Removable,Li-Ion,650,mAh,,102 x 80 pixels,No,No,84 x 43 x 20 mm ,Mini-SIM,,,,No,,No,
Bird,S1180c,,,No,No,,Silver,,Available.,2013,,Removable,Li-Ion,950,mAh,,128 x 96 pixels,No,No,81 x 43 x 18 mm ,Mini-SIM,,,,No,,No,
Bird,S1160 Plus,,,No,No,,Silver,,Available.,2011,December,Removable,Li-Ion,1500,mAh,,112 x 64 pixels,No,No,85 x 44 x 20 mm ,Mini-SIM,,,,No,,No,
Bird,S1160,,,No,No,,Silver,,Available.,2011,Q3,Removable,Li-Ion,900,mAh,,112 x 80 pixels,No,No,86 x 46 x 21 mm ,Mini-SIM,,,,No,,No,
Bird,S788,,,No,No,,Grey,,Available,,,Removable,Li-Ion,950,mAh,,112 x 80 pixels,Class 10,No,115 x 45 x 14 mm ,Mini-SIM,,,,No,,No,
Bird,S788,,,No,No,, Red,,Available,,,Removable,Li-Ion,950,mAh,,112 x 80 pixels,Class 10,No,115 x 45 x 14 mm ,Mini-SIM,,,,No,,No,
Bird,S288 Plus,,,No,No,,Blue,,Available.,2011,August,Removable,Li-Ion,950,mAh,,112 x 80 pixels,No,No,103 x 44 x 12 mm ,Mini-SIM,,,,No,,No,
Bird,S288 Plus,,,No,No,, Red,,Available.,2011,August,Removable,Li-Ion,950,mAh,,112 x 80 pixels,No,No,103 x 44 x 12 mm ,Mini-SIM,,,,No,,No,
Bird,S288 Plus,,,No,No,, Grey,,Available.,2011,August,Removable,Li-Ion,950,mAh,,112 x 80 pixels,No,No,103 x 44 x 12 mm ,Mini-SIM,,,,No,,No,
Bird,S288,,,No,No,,Blue,,Discontinued,,,Removable,Li-Ion,NaN,,,112 x 80 pixels,No,No,105 x 42 x 11 mm ,Mini-SIM,,,,No,,No,
Bird,S288,,,No,No,, Red,,Discontinued,,,Removable,Li-Ion,NaN,,,112 x 80 pixels,No,No,105 x 42 x 11 mm ,Mini-SIM,,,,No,,No,
Bird,S288,,,No,No,, Grey,,Discontinued,,,Removable,Li-Ion,NaN,,,112 x 80 pixels,No,No,105 x 42 x 11 mm ,Mini-SIM,,,,No,,No,
BlackBerry,8830 World Edition,,,No,2.0,,Black,64 MB,Discontinued,,,Removable,Li-Ion,NaN,,2.5 inches ,320 x 240 pixels ,Yes,Yes,114 x 66 x 14 mm ,Mini-SIM,,Qualcomm MSM6550,,microSD (dedicated slot),16 MB RAM,Yes,BlackBerry OS
BlackBerry,8800,,,No,2.0,,Silver,64 MB,Discontinued,,,Removable,Li-Ion,780,mAh,2.5 inches ,320 x 240 pixels ,Yes,Yes,114 x 66 x 14 mm ,Mini-SIM,32-bit Intel XScale PXA272 312 MHz,,,microSD (dedicated slot),16 MB RAM,Yes,BlackBerry OS
BlackBerry,7130g,,,No,2.0,,,64 MB,Discontinued,,,Removable,Li-Ion,780,mAh,2.4 inches ,240 x 260 pixels ,Yes,Yes,115 x 56 x 18 mm ,Mini-SIM,Intel XScale 312 MHz,,,No,16 MB RAM,No,BlackBerry OS
BlackBerry,7130c,,,No,2.0,,,64 MB,Discontinued,,,Removable,Li-Ion,NaN,,2.4 inches ,240 x 260 pixels ,Yes,Yes,115 x 56 x 18 mm ,Mini-SIM,Intel XScale 312 MHz,,,No,16 MB RAM,No,BlackBerry OS
BlackBerry,7130v,,,No,2.0,,,64 MB,Discontinued,,,Removable,Li-Ion,1000,mAh,2.4 inches ,240 x 260 pixels ,Yes,Yes,115 x 56 x 18 mm ,Mini-SIM,Intel XScale 312 MHz,,,No,16 MB RAM,No,BlackBerry OS
BlackBerry,8707v,,,No,2.0,,Silver,64 MB,Discontinued,,,Removable,Li-Ion,950,mAh,2.6 inches ,320 x 240 pixels ,Yes,Yes,110 x 69.5 x 19.5 mm ,Mini-SIM,Intel PXA901 312 MHz,,,No,16 MB RAM,No,BlackBerry OS
BlackBerry,8700c,,,No,Yes,,,64 MB,Discontinued,,,Removable,Li-Ion,NaN,,2.6 inches ,320 x 240 pixels ,Yes,Yes,110 x 69.5 x 19.5 mm ,Mini-SIM,Intel PXA901 312 MHz,,,No,16 MB RAM,No,BlackBerry OS
BlackBerry,7100x,,,No,Yes,,,32 MB,Discontinued,,,Removable,Li-Ion,780,mAh,2.2 inches ,240 x 260 pixels ,Yes,No,114 x 56 x 20 mm ,Mini-SIM,,,,No,4 MB RAM,No,BlackBerry OS
BlackBerry,7100t,,,No,Yes,,,32 MB,Discontinued,,,Removable,Li-Ion,780,mAh,2.36 inches ,240 x 260 pixels ,Yes,No,119 x 58 x 19 mm ,Mini-SIM,,,,No,4 MB RAM,No,BlackBerry OS
BlackBerry,7100v,,,No,Yes,,,32 MB,Discontinued,,,Removable,Li-Ion,1050,mAh,2.37 inches ,240 x 260 pixels ,Yes,No,114 x 56 x 20 mm ,Mini-SIM,,,,No,4 MB RAM,No,BlackBerry OS
BlackBerry,7730,,,No,No,,,16 MB,Discontinued,,,Removable,Li-Ion,NaN,,3.0 inches ,240 x 240 pixels ,Yes,No,121 x 77 x 18 mm ,Mini-SIM,,,,No,2 MB RAM,No,BlackBerry OS
BlackBerry,7230,,,No,No,,,16 MB,Discontinued,,,Removable,Li-Ion,760,mAh,2.6 inches ,240 x 160 pixels ,Yes,No,113 x 74 x 20 mm ,Mini-SIM,,,,No,1 MB RAM,No,BlackBerry OS
BlackBerry,6720,,,No,No,,,16 MB,Discontinued,,,Removable,Li-Ion,950,mAh,3.0 inches ,160 x 160 pixels ,,No,121 x 77 x 18 mm ,Mini-SIM,,,,No,1 MB RAM,No,BlackBerry OS
BlackBerry,6230,,,No,No,,,16 MB,Discontinued,,,Removable,Li-Ion,720,mAh,2.6 inches,,,No,113 x 75 x 20 mm ,Mini-SIM,,,,No,1 MB RAM,No,BlackBerry OS
BLU,Deejay,,,No,No,,Grey,,Discontinued,,,Removable,Li-Ion,940,mAh,1.77 inches ,128 x 160 pixels ,Class 10,No,103 x 44 x 15 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Deejay,,,No,No,, Green,,Discontinued,,,Removable,Li-Ion,940,mAh,1.77 inches ,128 x 160 pixels ,Class 10,No,103 x 44 x 15 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Deejay,,,No,No,, Purple,,Discontinued,,,Removable,Li-Ion,940,mAh,1.77 inches ,128 x 160 pixels ,Class 10,No,103 x 44 x 15 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Deejay,,,No,No,, Pink,,Discontinued,,,Removable,Li-Ion,940,mAh,1.77 inches ,128 x 160 pixels ,Class 10,No,103 x 44 x 15 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Deejay,,,No,No,, Blue,,Discontinued,,,Removable,Li-Ion,940,mAh,1.77 inches ,128 x 160 pixels ,Class 10,No,103 x 44 x 15 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Click,CIF,No,No,No,,Grey,,Discontinued,,,Removable,Li-Ion,940,mAh,1.77 inches ,128 x 160 pixels ,Class 10,No,103 x 44 x 15 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Click,CIF,No,No,No,, Green,,Discontinued,,,Removable,Li-Ion,940,mAh,1.77 inches ,128 x 160 pixels ,Class 10,No,103 x 44 x 15 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Click,CIF,No,No,No,, Purple,,Discontinued,,,Removable,Li-Ion,940,mAh,1.77 inches ,128 x 160 pixels ,Class 10,No,103 x 44 x 15 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Click,CIF,No,No,No,, Pink,,Discontinued,,,Removable,Li-Ion,940,mAh,1.77 inches ,128 x 160 pixels ,Class 10,No,103 x 44 x 15 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Click,CIF,No,No,No,, Blue,,Discontinued,,,Removable,Li-Ion,940,mAh,1.77 inches ,128 x 160 pixels ,Class 10,No,103 x 44 x 15 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Dual SIM Lite,,,No,No,,Grey,,Discontinued,,,Removable,Li-Ion,850,mAh,1.77 inches ,128 x 160 pixels ,No,No,98 x 41 x 12.5 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Dual SIM Lite,,,No,No,, Green,,Discontinued,,,Removable,Li-Ion,850,mAh,1.77 inches ,128 x 160 pixels ,No,No,98 x 41 x 12.5 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Dual SIM Lite,,,No,No,, Purple,,Discontinued,,,Removable,Li-Ion,850,mAh,1.77 inches ,128 x 160 pixels ,No,No,98 x 41 x 12.5 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Dual SIM Lite,,,No,No,, Pink,,Discontinued,,,Removable,Li-Ion,850,mAh,1.77 inches ,128 x 160 pixels ,No,No,98 x 41 x 12.5 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
BLU,Dual SIM Lite,,,No,No,, Blue,,Discontinued,,,Removable,Li-Ion,850,mAh,1.77 inches ,128 x 160 pixels ,No,No,98 x 41 x 12.5 mm ,Dual SIM (Mini-SIM),,,,microSD  up to 2 GB (dedicated slot),,No,
Bosch,909 Dual S,,,No,No,,3,,Discontinued,,,Removable,Li-Ion,850,mAh,,96 x 32 pixels| 4 x 16 chars,No,No,122 x 50 x 17 mm ,Mini-SIM,,,,No,,No,
Bosch,909 Dual,,,No,No,,3,,Discontinued,,,Removable,Li-Ion,850,mAh,,4 x 16 chars,No,No,112 x 50 x 17 mm ,Mini-SIM,,,,No,,No,
Bosch,Com 908,,,No,No,,3,,Discontinued,,,Removable,Li-Ion,NaN,,,4 x 16 chars,No,No,112 x 50 x 17 mm ,Mini-SIM,,,,No,,No,
Bosch,Com 509,,,No,No,,Several,,Discontinued,,,Removable,Li-Ion,NaN,,,4 x 16 chars,No,No,134 x 53 x 23 mm ,Mini-SIM,,,,No,,No,
Bosch,Com 509,,,No,No,, half transparent,,Discontinued,,,Removable,Li-Ion,NaN,,,4 x 16 chars,No,No,134 x 53 x 23 mm ,Mini-SIM,,,,No,,No,
Bosch,World 718,,,No,No,,,,Discontinued,,,Removable,Li-Ion,850,mAh,,4 x 16 chars,No,No,142 x 53 x 18 mm ,Mini-SIM,,,,No,,No,
Bosch,Com 738,,,No,No,,,,Discontinued,,,Removable,Li-Ion,850,mAh,,4 x 16 chars,No,No,142 x 53 x 18 mm ,Mini-SIM,,,,No,,No,
Bosch,Com 906,,,No,No,,,,Discontinued,,,Removable,Li-Ion,800,mAh,,3 x 15 chars,No,No,144 x 57 x 19 mm ,Mini-SIM,,,,No,,No,
Bosch,Com 608,,,No,No,,,,Discontinued,,,Removable,Li-Ion,800,mAh,,4 x 16 chars,No,No,134 x 53 x 24 mm ,Mini-SIM,,,,No,,No,
Bosch,Com 607,,,No,No,,,,Discontinued,,,Removable,Li-Ion,800,mAh,,4 x 16 chars,No,No,134 x 53 x 17 mm ,Mini-SIM,,,,No,,No,
Bosch,Com 207,,,No,No,,,,Discontinued,,,Removable,Li-Ion,880,mAh,,1 x 10 chars,No,No,147 x 56 x 23 mm ,Mini-SIM,,,,No,,No,
Celkon,C7010,1.3 MP,Yes,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,NaN,,2.8 inches ,320 x 480 pixels ,Yes,No,102 x 57 x 13.6 mm ,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C5055,1.3 MP,Yes,No,Yes,,Black,,Cancelled,,,Removable,Li-Ion,NaN,,2.8 inches ,240 x 320 pixels ,Yes,No,102 x 57 x 13.6 mm ,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C9 Jumbo,1.3 MP,No,No,Yes,,Black/Red,,Discontinued,,,Removable,Li-Ion,600,mAh,2.4 inches ,240 x 320 pixels ,Yes,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C9 Jumbo,1.3 MP,No,No,Yes,, Black/Blue,,Discontinued,,,Removable,Li-Ion,600,mAh,2.4 inches ,240 x 320 pixels ,Yes,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C9 Jumbo,1.3 MP,No,No,Yes,, White/Red,,Discontinued,,,Removable,Li-Ion,600,mAh,2.4 inches ,240 x 320 pixels ,Yes,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C7 Jumbo,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,750,mAh,| -,240 x 320 pixels,Yes,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C6 Star,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,750,mAh,2.4 inches ,240 x 320 pixels ,No,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C44 Duos,1.3 MP,No,No,Yes,,Gold/Black,,Discontinued,,,Removable,Li-Ion,750,mAh,2.4 inches ,240 x 320 pixels ,Yes,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C44 Duos,1.3 MP,No,No,Yes,, Gold/Red,,Discontinued,,,Removable,Li-Ion,750,mAh,2.4 inches ,240 x 320 pixels ,Yes,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C366,1.3 MP,No,No,Yes,,Black/Red,,Discontinued,,,Removable,Li-Ion,600,mAh,1.8 inches ,128 x 160 pixels ,Yes,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C366,1.3 MP,No,No,Yes,, Black/Blue,,Discontinued,,,Removable,Li-Ion,600,mAh,1.8 inches ,128 x 160 pixels ,Yes,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C366,1.3 MP,No,No,Yes,, White/Red,,Discontinued,,,Removable,Li-Ion,600,mAh,1.8 inches ,128 x 160 pixels ,Yes,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C619,VGA,No,No,Yes,,Black/Red,,Discontinued,,,Removable,Li-Ion,700,mAh,1.8 inches ,128 x 160 pixels ,No,No,112 x 47 x 15.8 mm ,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C619,VGA,No,No,Yes,, Black/White,,Discontinued,,,Removable,Li-Ion,700,mAh,1.8 inches ,128 x 160 pixels ,No,No,112 x 47 x 15.8 mm ,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C51,1.3 MP,No,No,Yes,,Brown,,Discontinued,,,Removable,Li-Ion,700,mAh,2.4 inches ,240 x 320 pixels ,No,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C51,1.3 MP,No,No,Yes,, Champagne,,Discontinued,,,Removable,Li-Ion,700,mAh,2.4 inches ,240 x 320 pixels ,No,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C51,1.3 MP,No,No,Yes,, Black,,Discontinued,,,Removable,Li-Ion,700,mAh,2.4 inches ,240 x 320 pixels ,No,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C340,Yes,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,700,mAh,1.8 inches,128 x 160 pixels ,Yes,No,-,Dual SIM,,,,microSD  up to 16 GB,,No,
Celkon,C348+,Yes,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Po,1050,mAh,1.8 inches,128 x 160 pixels ,No,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C349+,Yes,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Po,800,mAh,1.8 inches ,128 x 160 pixels ,No,No,111.5 x 47 x 14.5 mm ,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C779,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,750,mAh,2.4 inches,240 x 320 pixels ,Yes,No,-,Dual SIM,,,,microSD  up to 16 GB,,No,
Celkon,C66+,Yes,No,No,Yes,,Black,,Cancelled,,,Removable,Li-Ion,NaN,,2.4 inches ,240 x 320 pixels ,No,No,116.9 x 49 x 10.5 mm ,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C44+,1.3 MP,No,No,Yes,,Black,,Cancelled,,,Removable,Li-Ion,NaN,,2.4 inches,240 x 320 pixels ,Yes,No,-,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C4040,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,1100,mAh,2.4 inches ,240 x 320 pixels ,No,No,101 x 52 x 12.5 mm ,Dual SIM,,,,microSD  up to 8 GB,,No,
Celkon,C7045,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,600,mAh,3.5 inches,320 x 480 pixels ,Yes,No,-,Dual SIM (Mini-SIM),,,,microSD  up to 16 GB (dedicated slot),,No,
Celkon,C605,Yes,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,700,mAh,1.8 inches,128 x 160 pixels ,Yes,No,-,Dual SIM (Mini-SIM),,,,microSD  up to 16 GB (dedicated slot),,No,
Celkon,C399,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,500,mAh,2.4 inches,240 x 320 pixels ,Yes,No,-,Dual SIM (Mini-SIM),,,,microSD  up to 8 GB (dedicated slot),,No,
Celkon,C76,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,800,mAh,2.8 inches,240 x 320 pixels ,Yes,No,-,Dual SIM (Mini-SIM),,,,microSD  up to 8 GB (dedicated slot),,No,
Celkon,C64,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,700,mAh,2.6 inches,240 x 320 pixels ,Yes,No,-,Dual SIM (Mini-SIM),,,,microSD  up to 8 GB (dedicated slot),,No,
Celkon,C63,Yes,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,NaN,,2.6 inches,240 x 320 pixels ,Yes,No,-,Dual SIM (Mini-SIM),,,,microSD  up to 8 GB (dedicated slot),,No,
Celkon,A60,3.15 MP,VGA,Wi-Fi 802.11 b/g/n,Yes,Gyro,White,512 MB,Discontinued,,,Removable,Li-Ion,NaN,,4.5 inches,480 x 854 pixels ,Class 12,Class 12,-,Dual SIM (Mini-SIM),Dual-core 1.0 GHz,,,microSD  up to 32 GB (dedicated slot),256 MB RAM,No,Android 4.0.4 (Ice Cream Sandwich)
Celkon,A10,1.3 MP,VGA,Wi-Fi 802.11 b/g/n,Yes,Gyro,Black,256 MB,Discontinued,,,Removable,Li-Ion,NaN,,3.5 inches,320 x 400 pixels ,Class 12,Class 12,-,Dual SIM (Mini-SIM),Dual-core 1.0 GHz,,,microSD  up to 32 GB (dedicated slot),512 MB RAM,No,Android 4.2.0 (Jelly Bean)
Celkon,C5050 Star,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,NaN,,2.8 inches,240 x 320 pixels ,Yes,No,-,Dual SIM (Mini-SIM),,,,microSD  up to 8 GB (dedicated slot),,No,
Celkon,C7030,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,600,mAh,3.2 inches ,320 x 480 pixels ,Yes,No,112 x 60 x 11.8 mm ,Dual SIM (Mini-SIM| dual stand-by),,,,microSD  up to 16 GB (dedicated slot),,No,
Celkon,C349i,VGA,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,600,mAh,1.8 inches,128 x 160 pixels ,Yes,No,-,Dual SIM (Mini-SIM| dual stand-by),,,,microSD  up to 16 GB (dedicated slot),,No,
Celkon,C297,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,500,mAh,2.4 inches,240 x 320 pixels ,Yes,No,-,Dual SIM (Mini-SIM| dual stand-by),,,,microSD  up to 8 GB (dedicated slot),,No,
Celkon,C69,VGA,No,No,Yes,,Black,,Discontinued,,,Removable,Li-Ion,600,mAh,2.4 inches,240 x 320 pixels ,Yes,No,-,Dual SIM (Mini-SIM| dual stand-by),,,,microSD  up to 8 GB (dedicated slot),,No,
Celkon,C67+,VGA,No,No,Yes,,Black,,Discontinued,,,Removable,NiMH,700,mAh,2.4 inches,240 x 320 pixels ,Yes,No,-,Dual SIM (Mini-SIM| dual stand-by),,,,microSD  up to 8 GB (dedicated slot),,No,
Celkon,C74,1.3 MP,No,No,Yes,,Black,,Discontinued,,,Removable,NiMH,700,mAh,2.8 inches,240 x 320 pixels ,Yes,No,-,Dual SIM (Mini-SIM| dual stand-by),,,,microSD  up to 32 GB (dedicated slot),,No,
Celkon,CT-910,2 MP,VGA,Yes,Yes,Accelerometer,Gray,4 GB,Discontinued,,,Removable,NiMH,700,mAh,7.0 inches,480 x 800 pixels ,Yes,Class 12,-,Mini-SIM,1.0 GHz Cortex-A5,Qualcomm MSM7227A Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),512 MB RAM,Yes with A-GPS,Android 4.0.4 (Ice Cream Sandwich)
Celkon,A98,3.15 MP,Yes,Yes,Yes,Accelerometer,Black,,Discontinued,,,Removable,NiMH,500,mAh,4.0 inches,480 x 800 pixels ,Yes,Class 12,-,Dual SIM (Mini-SIM),1.0 GHz,,,microSD  up to 32 GB (dedicated slot),,No,Android 4.0 (Ice Cream Sandwich)
